S.No,Flight Number,Date,Origin,Destination,Aircraft,FlightTime,STD,ATD,STA,Unnamed: 10,ATA,Unnamed: 12,Unnamed: 13,STD_mins,ATD_mins,STA_mins,ATA_mins,DepartureDelay,ArrivalDelay,ScheduledHour
1,,2025-07-25,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXU),01:54:00,06:00:00,06:20:00,08:10:00,,Landed 8:14 AM,,,360,380,490,494.0,20,4.0,6
2,,2025-07-24,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTJ),01:54:00,06:00:00,06:07:00,08:10:00,,Landed 8:01 AM,,,360,367,490,481.0,7,-9.0,6
3,,2025-07-23,Mumbai (BOM),Chandigarh (IXC),A20N (VT-TQB),02:04:00,06:00:00,06:20:00,08:10:00,,Landed 8:23 AM,,,360,380,490,503.0,20,13.0,6
4,,2025-07-22,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTU),01:50:00,06:00:00,07:30:00,08:10:00,,Landed 9:20 AM,,,360,450,490,560.0,90,70.0,6
5,,2025-07-21,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXK),01:50:00,06:00:00,06:11:00,08:10:00,,Landed 8:01 AM,,,360,371,490,481.0,11,-9.0,6
6,,2025-07-20,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXM),01:48:00,05:30:00,05:50:00,07:40:00,,Landed 7:39 AM,,,330,350,460,459.0,20,-1.0,5
7,,2025-07-19,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXL),01:54:00,06:00:00,06:15:00,08:10:00,,Landed 8:09 AM,,,360,375,490,489.0,15,-1.0,6
8,,2025-07-25,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQW),01:09:00,06:00:00,06:17:00,07:25:00,,Landed 7:26 AM,,,360,377,445,446.0,17,1.0,6
9,,2025-07-24,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQH),01:08:00,06:00:00,06:18:00,07:25:00,,Landed 7:27 AM,,,360,378,445,447.0,18,2.0,6
10,,2025-07-23,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:05:00,06:00:00,06:26:00,07:25:00,,Landed 7:31 AM,,,360,386,445,451.0,26,6.0,6
